IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
1.247.97.83,12481,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,382,0.70
121.162.197.175,10103,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,597,0.44
54.92.17.121,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,284,0.44
58.230.12.228,12139,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,423,0.44
146.56.44.85,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,662,0.39
52.193.4.149,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,406,0.37
211.195.68.80,12290,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,520,0.32
3.112.21.102,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,471,0.32
47.100.162.123,443,TRUE,NRT,JP,Asia Pacific,Tokyo,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",337,0.31
211.75.243.91,16764,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,644,0.28
146.56.144.32,11202,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,573,0.21
211.196.223.206,12481,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,454,0.20
152.70.234.188,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,460,0.19
14.39.251.200,12442,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,572,0.18
218.50.51.32,12379,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,494,0.17
152.70.245.66,12693,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,410,0.15
176.119.149.242,3000,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,"xTom Japan Co., Ltd.",284,0.14
139.224.43.79,443,TRUE,NRT,JP,Asia Pacific,Tokyo,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",601,0.14
140.238.8.194,15800,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,802,0.13
47.101.62.249,443,TRUE,NRT,JP,Asia Pacific,Tokyo,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",365,0.12
176.119.149.243,3000,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,"xTom Japan Co., Ltd.",294,0.10
140.238.12.52,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,540,0.10
8.209.216.11,2053,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",625,0.09
146.56.171.182,11659,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,488,0.09
101.132.47.83,443,TRUE,NRT,JP,Asia Pacific,Tokyo,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",410,0.09
220.86.191.246,12391,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,613,0.06
149.28.22.198,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,928,0.05
140.238.20.223,35913,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,442,0.04
141.11.139.80,18666,TRUE,NRT,JP,Asia Pacific,Tokyo,51847,Nearoute Limited,383,0.01
38.47.121.241,31981,TRUE,NRT,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,357,0.01
