IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
118.219.227.220,12505,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,249,3.70
119.195.222.208,17780,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,398,3.63
220.125.55.47,30061,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,352,3.62
121.168.236.190,30027,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,371,3.54
220.83.246.53,12132,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,508,3.50
211.55.202.96,11310,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,419,3.47
119.203.175.63,12220,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,349,3.45
121.149.108.131,18000,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,660,3.42
220.87.237.210,12106,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,430,3.37
211.206.53.72,30061,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,461,3.34
121.170.103.123,10200,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,813,3.29
118.33.229.115,12309,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,377,3.26
121.183.7.51,10008,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,394,3.16
59.1.22.188,30011,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,422,3.15
14.54.27.148,10445,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,241,3.14
59.2.235.11,12536,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,430,3.13
183.108.13.213,30025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,369,3.10
221.157.238.95,12200,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,433,3.10
121.134.192.125,10034,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,493,2.99
125.140.5.219,30027,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,279,2.98
175.125.207.253,32755,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,286,2.80
221.155.10.234,30011,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,482,2.76
121.170.103.123,12471,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,857,2.60
221.157.238.95,12500,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,504,2.57
45.112.155.186,12314,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,282,2.53
