IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
8.217.147.230	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	257	33.84
8.218.142.253	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	226	29.44
8.217.121.207	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	273	29.26
8.218.143.10	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	185	27.66
8.210.207.214	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	219	26.24
8.217.72.0	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	159	25.51
47.242.157.96	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	196	24.23
47.243.42.155	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	214	22.48
8.210.48.107	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	235	21.96
47.238.6.58	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	187	20.99
47.243.70.186	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	253	20.84
47.76.213.245	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	180	20.51
8.210.175.109	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	251	20.47
8.210.42.171	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	287	18.77
47.242.155.183	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	213	17.55
8.210.55.134	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	176	16.84
47.243.255.224	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	164	16.41
47.243.186.171	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	212	15.62
47.238.5.0	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	215	15.09
47.243.90.180	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	252	14.7
8.217.66.3	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	188	14.68
8.210.43.213	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	248	14.65
8.218.53.110	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	162	14.5
47.243.60.150	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	315	14.48
8.210.63.130	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	244	14.44
47.243.5.154	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	239	14.13
47.243.206.150	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	162	14.02
47.76.159.146	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	161	14.02
8.218.1.163	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	158	13.96
47.243.169.63	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	212	13.87
47.243.26.83	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	216	13.84
47.76.203.101	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	177	13.7
47.242.42.153	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	250	13.7
47.76.225.255	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	332	13.57
8.218.48.92	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	202	13.35
8.210.156.6	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	245	13.23
8.217.232.246	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	198	13.02
8.217.164.10	2087	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	199	13.01
47.243.51.171	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	166	13
47.242.79.71	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	261	12.76
8.210.21.65	2053	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	231	12.67
47.242.174.27	2083	TRUE	HKG	HK	Asia Pacific	Hong Kong	45102	Alibaba US Technology Co., Ltd.	432	12.5
